message,source,date,views
"Президент дал поручения по развитию агропромышленного комплекса и смежных отраслей

Количественные ограничения на вывоз из РФ отдельных удобрений (например, азотных) в страны не из ЕАЭС пролонгируют до 31 августа. Правительство сможет ежеквартально продлевать срок. Пока квоты действуют по 31 мая.

Глава государства также велел правительству:
• поддерживать стабильные оптовые цены сельхозпродукции, сырья и продовольствия;
• отменить ввозную таможенную пошлину на сельхозтехнику и запчасти к ней, у которых нет российских аналогов. Речь идет о свеклосеющих и картофелеуборочных комбайнах, машинах для садоводства и пр.;
• предложить пониженные страховые взносы для сельскохозяйственных товаропроизводителей.

Президент утвердил и другие поручения.

Информация с сайта Президента РФ от 26.04.2022

#антикризисныемеры2022

Получить бесплатный пробный доступ к КонсультантПлюс https://login.consultant.ru/demo-access/",https://t.me/consultant_plus,1651142160.0,7476
"Предлагаем немного отвлечься и попробовать свои силы в новой рубрике «Вопрос на засыпку».
Выберите один из предложенных вариантов. Ответ и обоснование опубликуем в понедельник.",https://t.me/consultant_plus,1650630932.0,9199
"Как работаем и отдыхаем на майские

Первые 2 рабочие недели мая короткие – по 3 дня. По 4 дня подряд отдыхаем в периоды с 30 апреля по 3 мая и с 7 по 10 мая. Перед длинными выходными отпускать сотрудников раньше не нужно, поскольку эти дни не предпраздничные.

Как отдыхаем в 2022 году, можно посмотреть в производственном календаре для 5-дневной или 6-дневной рабочей недели.

Чтобы привлечь к работе в выходной или праздник, воспользуйтесь «Путеводителем по кадровым вопросам» в системе КонсультантПлюс.

Документ: Постановление Правительства РФ от 16.09.2021
№ 1564

Получить бесплатный пробный доступ к КонсультантПлюс https://login.consultant.ru/demo-access/",https://t.me/consultant_plus,1650530857.0,9492
"Утвердили концепцию перевода большинства госуслуг в цифровой формат

К концу 2023 года абсолютное большинство государственных и муниципальных услуг станут предоставлять в режиме 24/7. Личное присутствие граждан не потребуется.

Заявители смогут решать свои задачи в любой момент с помощью интуитивно понятных сервисов. Для этого все этапы (от подачи документов до получения результата) переведут в электронный вид. Но возможность лично обращаться в ведомства сохранят.

Результат предоставления услуг с согласия заявителей (но уже без их усилий) смогут использовать также работодатели, компании жилищно-коммунального хозяйства и иные заинтересованные контрагенты.

Документы:
Распоряжение Правительства РФ от 11.04.2022 № 837-р
Информация с сайта Правительства РФ от 18.04.2022

Получить бесплатный пробный доступ к КонсультантПлюс https://login.consultant.ru/demo-acce",https://t.me/consultant_plus,1650291615.0,7992
"Поздравляем с праздником!

Желаем здоровья, добра, красоты, весеннего настроения.",https://t.me/consultant_plus,1646709441.0,6175
"Поздравляем с праздником!

Желаем ярких побед, смелых решений, уверенности в своих силах и оптимизма!",https://t.me/consultant_plus,1645593611.0,4324
https://youtu.be/z-egR6DnXdU,https://t.me/consultant_plus,1637486651.0,3736
Поздравляем всех сотрудников кадровых служб с профессиональным праздником!,https://t.me/consultant_plus,1621847041.0,2866
"Алексей Херсонцев объявил итоги ежегодного конкурса «Лучший МФЦ России»
Новости",https://t.me/MinEconomyrf,1664527746.0,1088
"Максим Решетников рассказал о целевом сценарии развития экономики России

На полях VII Восточного экономического форума глава Минэкономразвития Максим Решетников рассказал, что целевым сценарием развития российской экономики является сценарий ее ускоренной адаптации к новым условиям.

«Он основан на реализации системных решений правительства, которые позволят уже в 2024 году преодолеть турбулентность и выйти на устойчивый рост», – подчеркнул министр.

Также Максим Решетников отметил, что есть все предпосылки ожидать, что к 2030 году экономика сможет выйти на устойчивый рост 3% ежегодно, это соответствует национальным целям развития страны.

Подробнее на сайте.

#ВЭФ",https://t.me/MinEconomyrf,1662458639.0,713
"Максим Решетников посетил Ярославскую область с рабочим визитом

 Министр экономического развития ознакомился с работой Тутаевского моторного завода – градообразующего предприятия и участника национального проекта «Производительность труда», а также посетил промышленный парк «Мастер», который был создан благодаря национальному проекту «Малое и среднее предпринимательство».

Ярославский завод самостоятельно производит гофрокартон и поставляет его в другие регионы страны, что позволяет удерживать минимальные цены на эту продукцию даже в условиях санкционного давления. Картон и упаковки используют для фасовки продуктов питания и различных бытовых товаров.

Также министр обсудил с губернаторами Центрального федерального округа реализацию федеральных мер поддержки и подчеркнул необходимость активизации работы регионов с инфраструктурными бюджетными кредитами, средства которых можно направить на создание и обновление социальной инфраструктуры.",https://t.me/MinEconomyrf,1659121509.0,1043
"Минэкономразвития России (VK)

Крупнейшие российские банки смогут начать работу в Крыму и Севастополе 

Российские банки, которые расширят деятельность на территории Крымского полуострова, смогут стать участниками программы льготного кредитования резидентов свободной экономической зоны, действующей в регионе с 1 января 2022 

Приоритетные отрасли полуострова – промышленность, туризм, строительство, логистика",https://t.me/MinEconomyrf,1647509330.0,1727
"Минэкономразвития России (VK)

Сегодня день рождения у Первого заместителя Председателя Правительства Андрея Рэмовича Белоусова.

Крепкого здоровья, сил и энергии для исполнения намеченных планов и достижения новых вершин!

Правительство России",https://t.me/MinEconomyrf,1647508580.0,1745
"Минэкономразвития России (VK)

Максим Решетников провел брифинг, где рассказал о поддержке МСП в условиях санкций 

Изменили регуляторную среду - упростили условия, в которых приходится работать предпринимателям 

Уже запущены: мораторий на проверки, упрощенная сертификация, автоматическое продление лицензий 

Повышаем доступность льготного кредитования 

Запущены программы Корпорации МСП и Банка России 

New! Подготовили решение для поддержки заемщиков, у которых ставка по кредиту привязана к ключевой ставке ЦБ 

Кредитные договоры с плавающей ставкой, заключенные малым и средним бизнесом до 27 февраля 2022 года, предлагаем реструктурировать 

Что это значит: зафиксируем льготный период, в течение которого ставка будет ниже, чем по условиям договора 
Конкретные условия прорабатываются Банком России",https://t.me/MinEconomyrf,1647427943.0,1483
"Минэкономразвития России (VK)

Максим Решетников представил нового руководителя Российско-Узбекского делового совета Торгово-промышленной палаты — Андрея Кузяева Торгово-промышленная палата Российской Федерации 

Андрей Равелевич — президент и председатель правления АО «ЭР-Телеком Холдинг».

На новом посту он будет продвигать, развивать и защищать интересы российского бизнеса на рынках Узбекистана. В приоритете — повысить эффективность взаимодействия бизнес-сообществ наших стран",https://t.me/MinEconomyrf,1647348272.0,1202
"Минэкономразвития России (VK)

Какую верхнюю планку по потребительским кредитам установило Правительство?

• 300 тыс. рублей для физлиц;
• 350 тыс. рублей для ИП;
• 100 тыс. рублей по кредитным картам;
• 700 тыс. рублей по автокредитам.

А что с лимитами по ипотеке?

• 6 млн. рублей для Москвы;
• 4 млн рублей для Московской области, Санкт-Петербурга и регионов Дальнего Востока;
• 3 млн рублей для остальных регионов России.

Какие условия для получения такой поддержки?

По этой программе заемщики имеют право обратиться за «кредитными каникулами» до 30 сентября 2022 года, если доход снизился на 30% по сравнению со средним доходом прошлого года.

Как долго могут длиться каникулы?

«Кредитные каникулы» распространяются на займы, выданные до 1 марта 2022 года.
Льготный период обслуживания займа можно получить на срок от 1 до 6 месяцев.",https://t.me/MinEconomyrf,1647328824.0,1825
"Расширенное заседание Российско-Узбекского делового совета
Минэкономразвития России (VK)

Работаем над расширением торгово-экономического и инвестиционного сотрудничества России и Узбекистана 

Сегодня в 11:00 по мск Максим Решетников примет участие в Российско-Узбекского деловом совете Торгово-промышленная палата Российской Федерации 

Прямая трансляция — по ссылке 

https://youtu.be/y7JGbgPKBMM

#дружбанародов",https://t.me/MinEconomyrf,1647322711.0,1291
"Минэкономразвития России (VK)

Дайджест! 

14 марта, понедельник 

#господдержка
Брифинг Максима Решетникова о мерах поддержки экономики в условиях санкций

#насвязи
Онлайн-встреча Максима Решетникова с министром экономики Республики Казахстан Алибеком Каунтыровым

#курортыСКФО
Кавказ.РФ снижает тарифы — Горнолыжный курорт «Архыз» снизил цены на ски-пассы на 25%, сохранив при этом полный объем услуг: кататься можно до начала апреля",https://t.me/MinEconomyrf,1647273499.0,1194
"Минэкономразвития России (VK)

Максим Решетников про иностранные компании, цены, бизнес и импорт

Собрали главные цитаты министра с брифинга по мерам поддержки экономики в условиях санкций.

Подробнее — на сайте Правительство России 

http://government.ru/news/44802/

#говоритминистр
#господдержка",https://t.me/MinEconomyrf,1647270265.0,1164
"«Росмолодёжь объясняет» 14.03.22.
Минэкономразвития России (VK)

Доброе утро! 

Настраиваем будильники на 16:00 (мск), ведь сегодня мы начинаем серию прямых эфиров «Росмолодёжь объясняет» 

Наша первая беседа посвящена молодым бизнесменам. Вместе с генеральным директором Федеральной корпорации по развитию малого и среднего предпринимательства Александром Исаевичем и генеральным директором ООО «Факультетус» Сергеем Вищипановым обсудим, как развивать своё дело в нынешней ситуации.",https://t.me/MinEconomyrf,1647261263.0,1091
"Минэкономразвития России (VK)

Уважаемые подписчики, из-за сложившейся ситуации ваши комментарии и вопросы в Facebook, Instagram и Twitter Роспатента могут остаться без ответа. Используйте активнее официальную страницу ведомства в VК. Инструменты обратной связи здесь тоже налажены. Пользуйтесь российским сервисом!

Напоминаем, что у нас также есть официальный аккаунт в Youtube: https://www.youtube.com/c/РоспатентФИПС

Для большей открытости более года работает Telegram-канал (https://t.me/RospatentFIPS). На сегодняшний день у него уже свыше 750 подписчиков.

Подписывайтесь на социальные сети Роспатента и ФИПС, чтобы оперативно получать информацию о деятельности ведомства, о законодательных изменениях в сфере интеллектуальной собственности и др.",https://t.me/MinEconomyrf,1647261259.0,1055
"Минэкономразвития России (VK)

Правительство определило параметры займов для обращения граждан за «кредитными каникулами»

 «Кредитные каникулы» распространяются на займы, выданные до 1 марта 2022 года. Льготный период обслуживания займа можно получить на срок от одного до шести месяцев.

 По потребительским кредитам установлены следующие лимиты:
 300 тыс. рублей для физлиц;
 350 тыс. рублей для ИП;
 100 тыс. рублей по кредитным картам;
 700 тыс. рублей по автокредитам.

 По ипотечным кредитам:
 6 млн рублей для Москвы;
 4 млн рублей для Московской области, Санкт-Петербурга и регионов Дальнего Востока;
 3 млн рублей для остальных регионов России.

 По условиям программы, заемщики имеют право обратиться за «кредитными каникулами» до 30 сентября 2022 года при условии снижения дохода на 30% по сравнению со средним доходом в предыдущем году.

 Решение принято в рамках комплекса мер поддержки граждан и бизнеса в условиях внешних санкций.",https://t.me/MinEconomyrf,1647254423.0,1566
"Минэкономразвития России (VK)

Поддержка бизнеса в условиях санкционного давления 

Правительство России вместе с Банк России и Корпорация МСП помогает бизнесу запускают льготные программы кредитования для бизнеса. 

Подробнее — в карточках. Листайте! 

#господдержка
#забизнес",https://t.me/MinEconomyrf,1647099330.0,4098
"Минэкономразвития России (VK)

Продолжаем актуализировать план Правительства России по поддержке бизнеса в условиях санкций

Предприниматели, которые взяли заем до 1 марта 2022 года, предусмотрены кредитные каникулы. Отсрочка по платежам может составить до 6 месяцев

Условия и отрасли - в карточках 

Мера входит в первый пакет поддержки",https://t.me/MinEconomyrf,1647099205.0,2070
"Правительство России

Выбросы парниковых газов будут контролироваться государственными органами

 Федеральные органы власти наделяются полномочиями в области ограничения выбросов парниковых газов, в том числе прогнозирования объемов таких выбросов.

 Заниматься этой работой в пределах своих компетенций будут девять федеральных ведомств:
 Минприроды,
 Минтранс,
 Минэнерго,
 Минэкономразвития,
 Минпромторг,
 Минсельхоз,
 Минстрой,
 Росгидромет,
 Рослесхоз.

 Работа ведется в рамках закона, подписанного Президентом в июле 2021 года. Он предусматривает введение обязательной отчетности для крупных промышленных предприятий и создание специальной информационной системы, а также механизмы поощрения инвестиций в климатические проекты.",https://t.me/MinEconomyrf,1647080063.0,885
"Минэкономразвития России (Instagram)

Максим Решетников @reshetnikov_mg рассказал о мерах поддержки экономики в условиях санкционного давления @vesti24 

Полное интервью министра смотрите по ссылке в закреплённых сторис «интервью»",https://t.me/MinEconomyrf,1647002571.0,2157
"Минэкономразвития России (Instagram)

Президент одобрил первый оперативный набор мер поддержки российской экономики в условиях санкций 

Он рассчитан на широкую поддержку конкретных отраслей. Вместе с бизнесом @opora_russia @deloros 2.0 @tpprf, @rspp.ru @dumagovru @sovfedgov и регионами подготовили ""скорую помощь"" для предпринимателей.

Это те мероприятия, которые по сути уже работают или будут «включены» буквально на следующей неделе. 

План - живой, он будет дополняться по мере поступления предложений от бизнеса и оценки ситуации. 

#господдержка",https://t.me/MinEconomyrf,1646926859.0,2024
"Минэкономразвития России (Instagram)

Замминистра Дмитрий Вольвач @dvvolvach в интервью @tass_agency о сотрудничестве с Южной Осетией и Абхазией. Собрали для вас главные цитаты. Листайте ",https://t.me/MinEconomyrf,1646906641.0,1058
"Минэкономразвития России (Instagram)

@government_rf обнуляет НДС для гостиничного бизнеса на 5 лет 

Для уже существующих гостиниц и другого туристического жилья нулевая ставка будет действовать до 30 июня 2027 года. Это одна из мер поддержки бизнеса в условиях санкций. 

В индустрии гостеприимства была одна из самых высоких ставок – 20%. Снижение налоговой нагрузки поможет привлечь новых инвесторов и решить вопрос дефицита современных отелей. 

#господдержка",https://t.me/MinEconomyrf,1646836232.0,1650
"Минэкономразвития России (Instagram)

Сильные и независимые, но такие хрупкие и нежные 

Речь, конечно, о бизнес-леди и их успешных историях. Листайте и вдохновляйтесь!",https://t.me/MinEconomyrf,1646740836.0,1210
"Минэкономразвития России (Instagram)

Поздравляем с Международным женским днем!

Пусть моменты радости и счастья обязательно будут в жизни даже в эпоху глобальных мировых перемен. Желаем неиссякаемой энергии, новых возможностей. Творите, мечтайте, любите и наслаждайтесь каждым мгновением этой весны!",https://t.me/MinEconomyrf,1646733981.0,1178
"Минэкономразвития России (Instagram)

Рост внутренних капиталовложений станет залогом восстановления экономики

Первый заместитель Председателя @government_rf Андрей Белоусов обсудил с губернаторами, как мотивировать инвесторов приходить в регионы

Сейчас местные команды работают над внедрением регинвестстандарта - ГОСТа по работе с инвесторами. До конца года 42 региона сформируют единые правила работы с бизнесом, сделают работу в субъекте проще

Еще региональные команды сейчас разрабатывают инвестиционные карты. Сервис поможет оптимально разместить будущий проект учитывая логистику,окружающую инфраструктуру и ресурсы. На заседании представители #minecteam и @rosreestr.ru рассказали, как лучше организовать разработку и работу с данными

Мини-путеводитель по регинвестстандарту – в карточках. Листайте 

#экономикарегионов",https://t.me/MinEconomyrf,1646645661.0,1326
"Минэкономразвития России (Instagram)

Доверяй, но проверяй 

Правительство России @government_rf запустило новый информационный портал @obyasnyaem.rf.ru с актуальной и проверенной информацией. Листайте карточки, чтобы узнать подробнее.

#подпишись
#нетфейкам",https://t.me/MinEconomyrf,1646383345.0,1083
"Минэкономразвития России (Instagram)

А вы знаете, что наша страна состоит в Евразийском экономическом союзе с Белоруссией, Арменией, Казахстаном и Киргизией? 

Решили провести вам небольшую экскурсию и познакомить с Союзом и его работой.

А еще мы в реальном времени проводим экономический анализ интеграции для каждой страны-участницы #ЕАЭС. Заходите на наш портал eaue.economy.gov.ru 

#дружбанародов",https://t.me/MinEconomyrf,1646331231.0,910
"Минэкономразвития России (Instagram)

Сегодня день рождения празднует председатель правительства России Михаил Мишустин @government_rf

Желаем здоровья, энергии и благополучия! 

#минэкпоздравляет",https://t.me/MinEconomyrf,1646290213.0,1819
"Минэкономразвития России (Instagram)

Правительство возвращает бизнесу комиссию за СБП

Возможность бизнесу бесплатно проводить платежи через СБП сохраняется. @government_rf выделит 500 млн рублей на продление программы в 2022 году.

@tinkoffbank 
@open.bank 
@raiffeisenbank_rus 
@bankvtb 
@alfabank 
@psbank_ru 
@sberbank 
@modulbank 
@avangard_bank 

#забизнес",https://t.me/MinEconomyrf,1646230584.0,1066
"Минэкономразвития России (Instagram)

@government_rf поможет банкам выполнить обязательства по льготной программе кредитования бизнеса – ФОТ 3.0. 

В прошлом году предприниматели заключили 40 тысяч кредитных соглашений. Чтобы сохранить им ставку 3% — правительство направит банкам 6,2 млрд рублей.

#забизнес",https://t.me/MinEconomyrf,1646227341.0,899
"Минэкономразвития России (Instagram)

Как изменились Крым и Севастополь? 

Сергей Назаров рассказывает в интервью @kommersant_online об итогах программы развития в 2021 году.
Листайте

@crimeagov 
@sevastopol.gov.ru 
#экономикарегионов",https://t.me/MinEconomyrf,1646147580.0,844
"Минэкономразвития России (Instagram)

Владислав Федулов в интервью @interfax_ru рассказал о запуске экспериментальных правовых режимов, подходах к регулированию данных, экосистем и криптовалют и внедрении искусственного интеллекта

Главное - в карточках

#минэквыступает",https://t.me/MinEconomyrf,1646041946.0,860
"Минэкономразвития России (Instagram)

Промышленное производство выросло на 8,6% за год 

Как оно развивалось в 2021 году, и каких успехов достигло - рассказываем в карточках 

#минэканализирует",https://t.me/MinEconomyrf,1645812142.0,1128
"Дмитрий Вольвач: Необходима кооперация национальных институтов по стратегическому развитию на площадке ЕАЭС
Новости",https://t.me/MinEconomyrf,1645779137.0,706
"Минэкономразвития РФ: в 2022 году в Ставропольском крае появятся девять новых социальных объектов
Новости",https://t.me/MinEconomyrf,1645769773.0,709
"Стимулирование технологического развития стартапов в фокусе ЦСР
Новости",https://t.me/MinEconomyrf,1645691442.0,731
"О текущей ценовой ситуации. 23 февраля 2022 года
Новости",https://t.me/MinEconomyrf,1645632737.0,704
"Минэкономразвития России (Instagram)

Сегодня мы отмечаем один из главных государственных праздников России!

Мир и спокойствие в нашей стране — залог счастья и благополучия каждого её жителя

Поздравляем защитников, тех, кто ежедневным трудом обеспечивает нашу безопасность и даёт возможность строить планы на будущее. 

Здоровья, стойкости, удачи и упорства!

#минэкпоздравляет",https://t.me/MinEconomyrf,1645605277.0,695
"В 2022 году финансовую поддержку смогут получить порядка 70 тысяч МСП, реализующих подакцизную продукцию
Новости",https://t.me/MinEconomyrf,1645545165.0,544
"В регионах СКФО началось исполнение региональных программ устойчивого развития предприятий энергетики и ЖКХ
Новости",https://t.me/MinEconomyrf,1645532900.0,599
"Дмитрий Вольвач: В ЕАЭС сформированы экономические и технологические предпосылки для сближения позиций стран «пятерки» в рамках климатической повестки
Новости",https://t.me/MinEconomyrf,1645527867.0,627
"Минэкономразвития РФ подготовлен обзор систем торговли квотами на выбросы парниковых газов в АТЭС
Новости",https://t.me/MinEconomyrf,1645527866.0,654
"Минэкономразвития России (Instagram)

Помогаете некоммерческим организациям? Рассказываем, как добрый бизнес может получить налоговые преференции

#забизнес
#задобро",https://t.me/MinEconomyrf,1645522842.0,596
"Минэкономразвития России (Instagram)

Рассказываем вам про #ОЭЗмоеймечты из @spbgov

Здесь производят вакцины Спутник V и Спутник Лайт, а в дальнейшем планируют выпускать препараты для лечения онкологических и аутоимунных заболеваний, заболеваний эндокринной системы

Подробнее - в карточках ",https://t.me/MinEconomyrf,1645451231.0,437
"Государственное регулирование. Дайджест событий (выпуск 26)
Новости",https://t.me/MinEconomyrf,1645446257.0,474
"Минэкономразвития: поправки в КоАП для снижения административной нагрузки на малый бизнес одобрены комитетом Госдумы
Новости",https://t.me/MinEconomyrf,1645439425.0,499
"Гарантии помогли малому бизнесу привлечь в 2021 году почти пол триллиона рублей кредитов
Новости",https://t.me/MinEconomyrf,1645423574.0,502
"Совет ЕЭК обсудил развитие интегрированной информационной системы ЕАЭС
Новости",https://t.me/MinEconomyrf,1645256892.0,527
"Корпорация МСП создает двусторонние Центры экспортных компетенций
Новости",https://t.me/MinEconomyrf,1645196419.0,569
"Максим Решетников: «Инновации – основа развития цифровизации, высокотехнологичного экспорта»
Новости",https://t.me/MinEconomyrf,1645194983.0,549
"Сахалин представил японским партнерами свою программу действий по достижению углеродной нейтральности до 2025 года
Новости",https://t.me/MinEconomyrf,1645194981.0,562
"Максим Решетников представил нового главу Роспатента
Новости",https://t.me/MinEconomyrf,1645171581.0,534
